altitude_m,mach,throttle,effective_throttle,thrust_n,fuel_flow_kg_s,tsfc_kg_per_n_s,source_model,clamped
0,0,0.25,0.3,3.00000004439,0,0,analytic_lapse_tsfc,true
0,0,0.3,0.3,3.00000004439,0,0,analytic_lapse_tsfc,false
0,0,0.5,0.5,5.00000007398,0,0,analytic_lapse_tsfc,false
0,0,0.75,0.75,7.50000011097,0,0,analytic_lapse_tsfc,false
0,0,1,1,10.000000148,0,0,analytic_lapse_tsfc,false
0,0.053,0.25,0.3,3.00000004439,0,0,analytic_lapse_tsfc,true
0,0.053,0.3,0.3,3.00000004439,0,0,analytic_lapse_tsfc,false
0,0.053,0.5,0.5,5.00000007398,0,0,analytic_lapse_tsfc,false
0,0.053,0.75,0.75,7.50000011097,0,0,analytic_lapse_tsfc,false
0,0.053,1,1,10.000000148,0,0,analytic_lapse_tsfc,false
0,0.11,0.25,0.3,3.00000004439,0,0,analytic_lapse_tsfc,true
0,0.11,0.3,0.3,3.00000004439,0,0,analytic_lapse_tsfc,false
0,0.11,0.5,0.5,5.00000007398,0,0,analytic_lapse_tsfc,false
0,0.11,0.75,0.75,7.50000011097,0,0,analytic_lapse_tsfc,false
0,0.11,1,1,10.000000148,0,0,analytic_lapse_tsfc,false
100,0,0.25,0.3,2.97130477637,0,0,analytic_lapse_tsfc,true
100,0,0.3,0.3,2.97130477637,0,0,analytic_lapse_tsfc,false
100,0,0.5,0.5,4.95217462729,0,0,analytic_lapse_tsfc,false
100,0,0.75,0.75,7.42826194093,0,0,analytic_lapse_tsfc,false
100,0,1,1,9.90434925457,0,0,analytic_lapse_tsfc,false
100,0.053,0.25,0.3,2.97130477637,0,0,analytic_lapse_tsfc,true
100,0.053,0.3,0.3,2.97130477637,0,0,analytic_lapse_tsfc,false
100,0.053,0.5,0.5,4.95217462729,0,0,analytic_lapse_tsfc,false
100,0.053,0.75,0.75,7.42826194093,0,0,analytic_lapse_tsfc,false
100,0.053,1,1,9.90434925457,0,0,analytic_lapse_tsfc,false
100,0.11,0.25,0.3,2.97130477637,0,0,analytic_lapse_tsfc,true
100,0.11,0.3,0.3,2.97130477637,0,0,analytic_lapse_tsfc,false
100,0.11,0.5,0.5,4.95217462729,0,0,analytic_lapse_tsfc,false
100,0.11,0.75,0.75,7.42826194093,0,0,analytic_lapse_tsfc,false
100,0.11,1,1,9.90434925457,0,0,analytic_lapse_tsfc,false
4500,0,0.25,0.3,1.90230430834,0,0,analytic_lapse_tsfc,true
4500,0,0.3,0.3,1.90230430834,0,0,analytic_lapse_tsfc,false
4500,0,0.5,0.5,3.17050718057,0,0,analytic_lapse_tsfc,false
4500,0,0.75,0.75,4.75576077086,0,0,analytic_lapse_tsfc,false
4500,0,1,1,6.34101436114,0,0,analytic_lapse_tsfc,false
4500,0.053,0.25,0.3,1.90230430834,0,0,analytic_lapse_tsfc,true
4500,0.053,0.3,0.3,1.90230430834,0,0,analytic_lapse_tsfc,false
4500,0.053,0.5,0.5,3.17050718057,0,0,analytic_lapse_tsfc,false
4500,0.053,0.75,0.75,4.75576077086,0,0,analytic_lapse_tsfc,false
4500,0.053,1,1,6.34101436114,0,0,analytic_lapse_tsfc,false
4500,0.11,0.25,0.3,1.90230430834,0,0,analytic_lapse_tsfc,true
4500,0.11,0.3,0.3,1.90230430834,0,0,analytic_lapse_tsfc,false
4500,0.11,0.5,0.5,3.17050718057,0,0,analytic_lapse_tsfc,false
4500,0.11,0.75,0.75,4.75576077086,0,0,analytic_lapse_tsfc,false
4500,0.11,1,1,6.34101436114,0,0,analytic_lapse_tsfc,false
