altitude_m,mach,throttle,effective_throttle,thrust_n,fuel_flow_kg_s,tsfc_kg_per_n_s,source_model,clamped
0,0,0.18,0.18,12.6000001864,0,0,analytic_lapse_tsfc,false
0,0,0.25,0.25,17.5000002589,0,0,analytic_lapse_tsfc,false
0,0,0.5,0.5,35.0000005178,0,0,analytic_lapse_tsfc,false
0,0,0.75,0.75,52.5000007768,0,0,analytic_lapse_tsfc,false
0,0,1,1,70.0000010357,0,0,analytic_lapse_tsfc,false
0,0.066,0.18,0.18,12.3089401821,0,0,analytic_lapse_tsfc,false
0,0.066,0.25,0.25,17.0957502529,0,0,analytic_lapse_tsfc,false
0,0.066,0.5,0.5,34.1915005059,0,0,analytic_lapse_tsfc,false
0,0.066,0.75,0.75,51.2872507588,0,0,analytic_lapse_tsfc,false
0,0.066,1,1,68.3830010117,0,0,analytic_lapse_tsfc,false
0,0.11,0.18,0.18,12.1149001792,0,0,analytic_lapse_tsfc,false
0,0.11,0.25,0.25,16.826250249,0,0,analytic_lapse_tsfc,false
0,0.11,0.5,0.5,33.6525004979,0,0,analytic_lapse_tsfc,false
0,0.11,0.75,0.75,50.4787507469,0,0,analytic_lapse_tsfc,false
0,0.11,1,1,67.3050009958,0,0,analytic_lapse_tsfc,false
175,0,0.18,0.18,12.3896702758,0,0,analytic_lapse_tsfc,false
175,0,0.25,0.25,17.2078753831,0,0,analytic_lapse_tsfc,false
175,0,0.5,0.5,34.4157507661,0,0,analytic_lapse_tsfc,false
175,0,0.75,0.75,51.6236261492,0,0,analytic_lapse_tsfc,false
175,0,1,1,68.8315015322,0,0,analytic_lapse_tsfc,false
175,0.066,0.18,0.18,12.1034688924,0,0,analytic_lapse_tsfc,false
175,0.066,0.25,0.25,16.8103734617,0,0,analytic_lapse_tsfc,false
175,0.066,0.5,0.5,33.6207469234,0,0,analytic_lapse_tsfc,false
175,0.066,0.75,0.75,50.4311203851,0,0,analytic_lapse_tsfc,false
175,0.066,1,1,67.2414938468,0,0,analytic_lapse_tsfc,false
175,0.11,0.18,0.18,11.9126679702,0,0,analytic_lapse_tsfc,false
175,0.11,0.25,0.25,16.5453721808,0,0,analytic_lapse_tsfc,false
175,0.11,0.5,0.5,33.0907443616,0,0,analytic_lapse_tsfc,false
175,0.11,0.75,0.75,49.6361165424,0,0,analytic_lapse_tsfc,false
175,0.11,1,1,66.1814887232,0,0,analytic_lapse_tsfc,false
4500,0,0.18,0.18,7.98967809504,0,0,analytic_lapse_tsfc,false
4500,0,0.25,0.25,11.096775132,0,0,analytic_lapse_tsfc,false
4500,0,0.5,0.5,22.193550264,0,0,analytic_lapse_tsfc,false
4500,0,0.75,0.75,33.290325396,0,0,analytic_lapse_tsfc,false
4500,0,1,1,44.387100528,0,0,analytic_lapse_tsfc,false
4500,0.066,0.18,0.18,7.80511653104,0,0,analytic_lapse_tsfc,false
4500,0.066,0.25,0.25,10.8404396264,0,0,analytic_lapse_tsfc,false
4500,0.066,0.5,0.5,21.6808792529,0,0,analytic_lapse_tsfc,false
4500,0.066,0.75,0.75,32.5213188793,0,0,analytic_lapse_tsfc,false
4500,0.066,1,1,43.3617585058,0,0,analytic_lapse_tsfc,false
4500,0.11,0.18,0.18,7.68207548838,0,0,analytic_lapse_tsfc,false
4500,0.11,0.25,0.25,10.6695492894,0,0,analytic_lapse_tsfc,false
4500,0.11,0.5,0.5,21.3390985788,0,0,analytic_lapse_tsfc,false
4500,0.11,0.75,0.75,32.0086478682,0,0,analytic_lapse_tsfc,false
4500,0.11,1,1,42.6781971577,0,0,analytic_lapse_tsfc,false
