altitude_m,mach,throttle,effective_throttle,thrust_n,fuel_flow_kg_s,tsfc_kg_per_n_s,source_model,clamped
0,0,0.18,0.18,24.5252167272,0.00254924632832,0.000103943885866,analytic_lapse_tsfc,false
0,0,0.25,0.25,34.06280101,0.00296423991666,8.70227881668e-05,analytic_lapse_tsfc,false
0,0,0.5,0.5,68.1256020199,0.00444635987499,6.52670911251e-05,analytic_lapse_tsfc,false
0,0,0.75,0.75,102.18840303,0.00592847983331,5.80151921112e-05,analytic_lapse_tsfc,false
0,0,1,1,136.25120404,0.00741059979164,5.43892426042e-05,analytic_lapse_tsfc,false
0,0.113,0.18,0.18,23.5552444056,0.00248992441667,0.000105705734731,analytic_lapse_tsfc,false
0,0.113,0.25,0.25,32.71561723,0.00289526094962,8.84978244262e-05,analytic_lapse_tsfc,false
0,0.113,0.5,0.5,65.4312344601,0.00434289142443,6.63733683196e-05,analytic_lapse_tsfc,false
0,0.113,0.75,0.75,98.1468516901,0.00579052189923,5.89985496175e-05,analytic_lapse_tsfc,false
0,0.113,1,1,130.86246892,0.00723815237404,5.53111402664e-05,analytic_lapse_tsfc,false
0,0.7,0.18,0.18,18.516538629,0.00212677248056,0.000114857993882,analytic_lapse_tsfc,false
0,0.7,0.25,0.25,25.7174147625,0.00247299125647,9.61601809243e-05,analytic_lapse_tsfc,false
0,0.7,0.5,0.5,51.4348295251,0.0037094868847,7.21201356932e-05,analytic_lapse_tsfc,false
0,0.7,0.75,0.75,77.1522442876,0.00494598251294,6.41067872828e-05,analytic_lapse_tsfc,false
0,0.7,1,1,102.86965905,0.00618247814117,6.01001130777e-05,analytic_lapse_tsfc,false
304.8,0,0.18,0.18,23.8155592546,0.00246695690089,0.000103585931975,analytic_lapse_tsfc,false
304.8,0,0.25,0.25,33.0771656314,0.00286855453592,8.67231058394e-05,analytic_lapse_tsfc,false
304.8,0,0.5,0.5,66.1543312628,0.00430283180388,6.50423293795e-05,analytic_lapse_tsfc,false
304.8,0,0.75,0.75,99.2314968942,0.00573710907184,5.78154038929e-05,analytic_lapse_tsfc,false
304.8,0,1,1,132.308662526,0.0071713863398,5.42019411496e-05,analytic_lapse_tsfc,false
304.8,0.113,0.18,0.18,22.8736538861,0.00240954989487,0.000105341713522,analytic_lapse_tsfc,false
304.8,0.113,0.25,0.25,31.7689637307,0.00280180220333,8.81930624833e-05,analytic_lapse_tsfc,false
304.8,0.113,0.5,0.5,63.5379274614,0.004202703305,6.61447968625e-05,analytic_lapse_tsfc,false
304.8,0.113,0.75,0.75,95.3068911921,0.00560360440666,5.87953749889e-05,analytic_lapse_tsfc,false
304.8,0.113,1,1,127.075854923,0.00700450550833,5.51206640521e-05,analytic_lapse_tsfc,false
304.8,0.7,0.18,0.18,17.9807472372,0.00205812046849,0.000114462454832,analytic_lapse_tsfc,false
304.8,0.7,0.25,0.25,24.9732600517,0.00239316333545,9.58290319525e-05,analytic_lapse_tsfc,false
304.8,0.7,0.5,0.5,49.9465201034,0.00358974500318,7.18717739644e-05,analytic_lapse_tsfc,false
304.8,0.7,0.75,0.75,74.9197801551,0.00478632667091,6.38860213017e-05,analytic_lapse_tsfc,false
304.8,0.7,1,1,99.8930402069,0.00598290833864,5.98931449703e-05,analytic_lapse_tsfc,false
4500,0,0.18,0.18,15.5514749176,0.00153224158912,9.85270913041e-05,analytic_lapse_tsfc,false
4500,0,0.25,0.25,21.5992707189,0.00178167626642,8.24877973709e-05,analytic_lapse_tsfc,false
4500,0,0.5,0.5,43.1985414378,0.00267251439963,6.18658480282e-05,analytic_lapse_tsfc,false
4500,0,0.75,0.75,64.7978121568,0.00356335253284,5.49918649139e-05,analytic_lapse_tsfc,false
4500,0,1,1,86.3970828757,0.00445419066605,5.15548733568e-05,analytic_lapse_tsfc,false
4500,0.113,0.18,0.18,14.9364140846,0.00149658575658,0.000100197125502,analytic_lapse_tsfc,false
4500,0.113,0.25,0.25,20.745019562,0.00174021599603,8.38859655363e-05,analytic_lapse_tsfc,false
4500,0.113,0.5,0.5,41.490039124,0.00261032399404,6.29144741522e-05,analytic_lapse_tsfc,false
4500,0.113,0.75,0.75,62.235058686,0.00348043199205,5.59239770242e-05,analytic_lapse_tsfc,false
4500,0.113,1,1,82.9800782479,0.00435053999007,5.24287284602e-05,analytic_lapse_tsfc,false
4500,0.7,0.18,0.18,11.7413635628,0.00127831085176,0.000108872435891,analytic_lapse_tsfc,false
4500,0.7,0.25,0.25,16.3074493928,0.00148640796717,9.11490160948e-05,analytic_lapse_tsfc,false
4500,0.7,0.5,0.5,32.6148987856,0.00222961195075,6.83617620711e-05,analytic_lapse_tsfc,false
4500,0.7,0.75,0.75,48.9223481784,0.00297281593434,6.07660107299e-05,analytic_lapse_tsfc,false
4500,0.7,1,1,65.2297975711,0.00371601991792,5.69681350593e-05,analytic_lapse_tsfc,false
