observable,value,units,u_exp,u_input,u_num
first_symmetric_wing_bending_frequency_hz,7.42,Hz,0.10,0.742,0.02
strain_channel_mapping_count,21,count,0.1,0.1,0.0
ri_bending_nm_per_microstrain,0.38546452431857475,Nm/microstrain,0.005295868973394363,0.001927322621592874,0.000001
ri_torque_nm_per_microstrain,-0.09002686877786151,Nm/microstrain,0.002252723834233893,0.0004501343438893076,0.000001
rm_bending_nm_per_microstrain,0.2693476207560058,Nm/microstrain,0.005966923083964282,0.001346738103780029,0.000001
rm_torque_nm_per_microstrain,-0.04067385109600917,Nm/microstrain,0.001482078318900214,0.0002033692554800459,0.000001
ro_bending_nm_per_microstrain,0.06633852201911977,Nm/microstrain,0.001423855238564929,0.0003316926100955989,0.000001
ro_torque_nm_per_microstrain,-0.024876065957769346,Nm/microstrain,0.001202071211860032,0.0001243803297888467,0.000001
li_bending_nm_per_microstrain,0.34502467909387385,Nm/microstrain,0.002249096447109857,0.001725123395469369,0.000001
li_torque_nm_per_microstrain,0.06498640946039985,Nm/microstrain,0.0007406588899423437,0.0003249320473019993,0.000001
lm_bending_nm_per_microstrain,0.24416269746557678,Nm/microstrain,0.003127896508605651,0.001220813487327884,0.000001
lm_torque_nm_per_microstrain,0.06434989614685566,Nm/microstrain,0.001272114898922023,0.0003217494807342783,0.000001
lo_bending_nm_per_microstrain,0.06279093191543374,Nm/microstrain,0.001486719534083057,0.0003139546595771687,0.000001
lo_torque_nm_per_microstrain,0.028558932006529827,Nm/microstrain,0.00120998910908645,0.0001427946600326491,0.000001
tail_lift_n_per_microstrain,0.12142690945370142,N/microstrain,0.000760179693274489,0.0006071345472685071,0.000001
tail_side_n_per_microstrain,-0.16516771948993494,N/microstrain,0.002928713026382599,0.0008258385974496748,0.000001
tail_torque_nm_per_microstrain,0.02919386994787272,Nm/microstrain,0.0004716507743294357,0.0001459693497393636,0.000001
