alpha_deg,beta_deg,cx,cz,cm,cl,cd,configuration
-5,0,-0.017280141,0.409026626,0.313148046,-0.405964106,0.052863404,baseline
0,0,-0.028391365,-0.022003345,0.155619121,0.022003345,0.028391365,baseline
2,0,-0.023850490,-0.204038346,0.102363470,0.203081697,0.030956797,baseline
4,0,-0.009675889,-0.376984826,0.045960431,0.375391573,0.035949450,baseline
6,0,-0.001406334,-0.544056939,-0.011651435,0.540929556,0.058268066,baseline
8,0,0.028821527,-0.699665041,-0.052597495,0.696867108,0.068833522,baseline
9,0,0.040333215,-0.781166543,-0.064053292,0.777858615,0.082364738,baseline
10,0,0.064289369,-0.848614674,-0.081168250,0.846886039,0.084047735,baseline
11,0,0.064264939,-0.901836226,-0.094581993,0.897529244,0.108994253,baseline
12,0,0.050138240,-0.934628754,-0.112317902,0.924629211,0.145277649,baseline
13,0,0.034635057,-0.959157614,-0.118517739,0.942365646,0.182016134,baseline
14,0,0.023116601,-0.983778695,-0.161682197,0.960148692,0.215567678,baseline
16,0,0.003972878,-1.030163331,-0.319546885,0.991351545,0.280132502,baseline
20,0,-0.009314676,-1.115631635,-0.479523708,1.045165062,0.390321404,baseline
24,0,-0.006876768,-1.231267853,-0.600229667,1.122022033,0.507084012,baseline
