observable,value,units,u_exp,u_input,u_num
naca0012_re6000000_cl_alpha_per_deg,0.1064869243,1/deg,0.005,0,0.0001
naca0012_re6000000_alpha_l0_deg,-0.1780471855,deg,0.25,0,0.001
naca0012_re6000000_cm_ac,0.0,1,0.005,0,0.0001
naca0012_re6000000_cd0,0.0059063681,1,0.0008,0,0.0001
naca0012_re6000000_cl_max,1.59591,1,0.08,0,0
naca2412_re3000000_cl_alpha_per_deg,0.1014375612,1/deg,0.005,0,0.0001
naca2412_re3000000_alpha_l0_deg,-2.6549959349,deg,0.25,0,0.001
naca2412_re3000000_cm_ac,-0.041813,1,0.008,0,0.0001
naca2412_re3000000_cd0,0.0066674173,1,0.0008,0,0.0001
naca2412_re3000000_cl_max,1.59448,1,0.08,0,0
naca2412_re6000000_cl_alpha_per_deg,0.0999505878,1/deg,0.005,0,0.0001
naca2412_re6000000_alpha_l0_deg,-2.5195795373,deg,0.25,0,0.001
naca2412_re6000000_cm_ac,-0.03976475,1,0.008,0,0.0001
naca2412_re6000000_cd0,0.0064402208,1,0.0008,0,0.0001
naca2412_re6000000_cl_max,1.68592,1,0.08,0,0
naca2412_re9000000_cl_alpha_per_deg,0.1055286085,1/deg,0.007,0,0.0001
naca2412_re9000000_alpha_l0_deg,-2.0682711552,deg,0.5,0,0.001
naca2412_re9000000_cm_ac,-0.0409935,1,0.01,0,0.0001
naca2412_re9000000_cd0,0.0058648152,1,0.0008,0,0.0001
naca2412_re9000000_cl_max,1.67939,1,0.08,0,0
naca4412_re3000000_cl_alpha_per_deg,0.1038126289,1/deg,0.006,0,0.0001
naca4412_re3000000_alpha_l0_deg,-3.8361881174,deg,0.3,0,0.001
naca4412_re3000000_cm_ac,-0.0924925,1,0.012,0,0.0001
naca4412_re3000000_cd0,0.0072667978,1,0.0008,0,0.0001
naca4412_re3000000_cl_max,1.53047,1,0.08,0,0
naca4412_re6000000_cl_alpha_per_deg,0.1057191538,1/deg,0.006,0,0.0001
naca4412_re6000000_alpha_l0_deg,-3.8502181302,deg,0.3,0,0.001
naca4412_re6000000_cm_ac,-0.086939375,1,0.012,0,0.0001
naca4412_re6000000_cd0,0.0064836,1,0.0008,0,0.0001
naca4412_re6000000_cl_max,1.64046,1,0.08,0,0
naca4412_re9000000_cl_alpha_per_deg,0.1066966062,1/deg,0.006,0,0.0001
naca4412_re9000000_alpha_l0_deg,-3.8349503355,deg,0.3,0,0.001
naca4412_re9000000_cm_ac,-0.093718125,1,0.012,0,0.0001
naca4412_re9000000_cd0,0.0061453395,1,0.0008,0,0.0001
naca4412_re9000000_cl_max,1.67992,1,0.08,0,0
