airfoil,reynolds,series,x,y
2412,3000000,alpha_cl,20.437,1.13378
2412,3000000,alpha_cl,18.2468,1.20896
2412,3000000,alpha_cl,16.3122,1.50956
2412,3000000,alpha_cl,15.7967,1.56509
2412,3000000,alpha_cl,15.2815,1.59448
2412,3000000,alpha_cl,14.22,1.52753
2412,3000000,alpha_cl,12.0644,1.39849
2412,3000000,alpha_cl,10.0049,1.24328
2412,3000000,alpha_cl,7.97697,1.04388
2412,3000000,alpha_cl,5.85167,0.855855
2412,3000000,alpha_cl,3.75774,0.648128
2412,3000000,alpha_cl,1.66304,0.456683
2412,3000000,alpha_cl,-0.174796,0.245518
2412,3000000,alpha_cl,-2.30335,0.0473698
2412,3000000,alpha_cl,-4.2074,-0.180351
2412,3000000,alpha_cl,-6.43433,-0.375387
2412,3000000,alpha_cl,-8.43687,-0.604937
2412,3000000,alpha_cm,7.94628,-0.04058675
2412,3000000,alpha_cm,3.69095,-0.03607875
2412,3000000,alpha_cm,1.65992,-0.041813
2412,3000000,alpha_cm,-0.274352,-0.0426315
2412,3000000,alpha_cm,-2.43431,-0.04426925
2412,3000000,alpha_cm,-4.33635,-0.04508775
2412,3000000,alpha_cm,-6.39969,-0.0479545
2412,3000000,cl_cd,1.52106,0.0232416
2412,3000000,cl_cd,1.39142,0.0172858
2412,3000000,cl_cd,1.24642,0.0135983
2412,3000000,cl_cd,1.04464,0.0112662
2412,3000000,cl_cd,0.857205,0.00911405
2412,3000000,cl_cd,0.634434,0.00663227
2412,3000000,cl_cd,0.427166,0.00633102
2412,3000000,cl_cd,0.22468,0.0063742
2412,3000000,cl_cd,0.018921,0.00700727
2412,3000000,cl_cd,0.015778,0.00661386
2412,3000000,cl_cd,-0.199563,0.00734482
2412,3000000,cl_cd,-0.405188,0.00809216
2412,3000000,cl_cd,-0.612425,0.00969057
2412,6000000,alpha_cl,20.4688,1.16974
2412,6000000,alpha_cl,18.3732,1.40829
2412,6000000,alpha_cl,17.6956,1.56182
2412,6000000,alpha_cl,17.2438,1.67939
2412,6000000,alpha_cl,15.5704,1.68592
2412,6000000,alpha_cl,15.249,1.63204
2412,6000000,alpha_cl,14.284,1.58631
2412,6000000,alpha_cl,12.0322,1.40339
2412,6000000,alpha_cl,10.0693,1.23511
2412,6000000,alpha_cl,8.04137,1.03734
2412,6000000,alpha_cl,6.01268,0.837866
2412,6000000,alpha_cl,3.85435,0.638312
2412,6000000,alpha_cl,1.59848,0.432133
2412,6000000,alpha_cl,-0.271638,0.220958
2412,6000000,alpha_cl,-2.36812,0.0129721
2412,6000000,alpha_cl,-4.43296,-0.170519
2412,6000000,alpha_cl,-6.37024,-0.406535
2412,6000000,alpha_cl,-8.34034,-0.619698
2412,6000000,alpha_cl,-10.5371,-0.836232
2412,6000000,alpha_cl,-12.3471,-1.02331
2412,6000000,alpha_cl,-13.2511,-1.05614
2412,6000000,alpha_cl,-14.5746,-1.08568
2412,6000000,alpha_cl,-15.5737,-1.03479
2412,6000000,alpha_cl,-16.3776,-0.91498
2412,6000000,alpha_cl,-18.6017,-0.844414
2412,6000000,alpha_cm,10.0094,-0.0315755
2412,6000000,alpha_cm,8.01075,-0.03935775
2412,6000000,alpha_cm,5.78636,-0.0385375
2412,6000000,alpha_cm,3.8199,-0.0364885
2412,6000000,alpha_cm,1.65996,-0.03976475
