observable,value,units,u_exp,u_input,u_num
naca2415_re60000_cl_alpha_per_deg,0.0976837870,1/deg,0.006,0,0.0001
naca2415_re60000_alpha_l0_deg,-0.8718788612,deg,0.25,0,0.001
naca2415_re60000_cd0,0.0292588889,1,0.0015,0,0.0001
naca2415_re60000_cl_max,1.149,1,0.06,0,0
naca2415_re60000_domain_flagged,1.0,boolean,0.01,0,0
naca2415_re100000_cl_alpha_per_deg,0.1104117897,1/deg,0.006,0,0.0001
naca2415_re100000_alpha_l0_deg,-2.0512961392,deg,0.25,0,0.001
naca2415_re100000_cd0,0.0219614035,1,0.0015,0,0.0001
naca2415_re100000_cl_max,1.188,1,0.06,0,0
naca2415_re100000_domain_flagged,1.0,boolean,0.01,0,0
naca2415_re200000_cl_alpha_per_deg,0.1038683104,1/deg,0.006,0,0.0001
naca2415_re200000_alpha_l0_deg,-2.0607993748,deg,0.25,0,0.001
naca2415_re200000_cd0,0.0123268293,1,0.0015,0,0.0001
naca2415_re200000_cl_max,1.226,1,0.06,0,0
naca2415_re200000_domain_flagged,1.0,boolean,0.01,0,0
naca2415_re300000_cl_alpha_per_deg,0.1071315378,1/deg,0.006,0,0.0001
naca2415_re300000_alpha_l0_deg,-2.0620506551,deg,0.25,0,0.001
naca2415_re300000_cd0,0.0103555556,1,0.0015,0,0.0001
naca2415_re300000_cl_max,1.303,1,0.06,0,0
naca2415_re300000_domain_flagged,1.0,boolean,0.01,0,0
